Name,Wallet,Wins,Losses,Total Won,Total Lost,Duplicated Bets,Diff Outcome Count,Diff Outcome Details
simonbanza,0x5350afcd8bd8ceffdf4da32420d6d31be0822fda,19,4,967506.67,87500.57,18,4,"nba-uta-sas-2025-12-27: Different outcomes (Jazz, Spurs); nfl-jax-ind-2025-12-28: Different outcomes (Colts, Jaguars); battle-of-the-sexes-aryna-sabalenka-vs-nick-kyrgios: Different outcomes (Kyrgios, Sabalenka); nfl-phi-buf-2025-12-28: Different outcomes (Bills, Eagles)"
DrPufferfish,0xdb27bf2ac5d428a9c63dbc914611036855a6c56e,15,10,490339.36,463121.76,19,0,
gmpm,0x14964aefa2cd7caff7878b3820a690a03c5aa429,22,8,878729.22,135850.98,20,6,"nfl-ne-nyj-2025-12-28-spread-away-13pt5: Different outcomes (Jets, Patriots); nfl-tb-mia-2025-12-28-spread-away-5pt5: Different outcomes (Buccaneers, Dolphins); nfl-jax-ind-2025-12-28: Different outcomes (Colts, Jaguars); nfl-bal-gb-2025-12-27-spread-home-2pt5: Different outcomes (Ravens, Packers); cfb-lsu-hou-2025-12-27: Different outcomes (Houston, LSU); nfl-phi-buf-2025-12-28: Different outcomes (Bills, Eagles)"
0xafEe,0xee50a31c3f5a7c77824b12a941a54388a2827ed6,23,0,2987357.23,0.0,18,0,
0x006cc834Cc092684F1B56626E23BEdB3835c16ea-1729683673397,0x006cc834cc092684f1b56626e23bedb3835c16ea,29,26,2973390.55,1816831.3,34,2,"nba-nyk-ind-2025-12-18-spread-away-4pt5: Different outcomes (Pacers, Knicks); cfb-tulane-templ-2025-11-22-spread-away-9pt5: Different outcomes (Temple, Tulane)"
gmanas,0xe90bec87d9ef430f27f9dcfe72c34b76967d5da2,48,33,3018071.93,462759.9,41,19,"nfl-sea-car-2025-12-28: Different outcomes (Panthers, Seahawks); nba-cle-hou-2025-12-27-spread-home-5pt5: Different outcomes (Rockets, Cavaliers); nba-phx-nop-2025-12-27: Different outcomes (Pelicans, Suns); nba-phi-okc-2025-12-28: Different outcomes (76ers, Thunder); nhl-sj-van-2025-12-27: Different outcomes (Sharks, Canucks); cfb-gtech-byu-2025-12-27: Different outcomes (Georgia Tech, BYU); nfl-sea-car-2025-12-28-spread-away-6pt5: Different outcomes (Panthers, Seahawks); cfb-pennst-clmsn-2025-12-27: Different outcomes (Penn State, Clemson); nba-den-orl-2025-12-27: Different outcomes (Nuggets, Magic); nfl-hou-lac-2025-12-27: Different outcomes (Texans, Chargers); nba-dal-sac-2025-12-27: Different outcomes (Kings, Mavericks); nhl-col-las-2025-12-27: Different outcomes (Avalanche, Golden Knights); nba-uta-sas-2025-12-27: Different outcomes (Jazz, Spurs); nhl-phi-sea-2025-12-28: Different outcomes (Kraken, Flyers); nba-gsw-tor-2025-12-28: Different outcomes (Warriors, Raptors); nba-nyk-atl-2025-12-27: Different outcomes (Hawks, Knicks); nba-bkn-min-2025-12-27-spread-home-12pt5: Different outcomes (Nets, Timberwolves); por-fam-ama-2025-12-27-ama: Different outcomes (No, Yes); sea-pis-juv-2025-12-27-total-2pt5: Different outcomes (Under, Over)"
SeriouslySirius,0x16b29c50f2439faf627209b2ac0c7bbddaa8a881,71,30,364762.89,576859.8,67,14,"nfl-la-atl-2025-12-29-spread-away-8pt5: Different outcomes (Rams, Falcons); nfl-phi-buf-2025-12-28-spread-home-2pt5: Different outcomes (Bills, Eagles); nhl-mon-tb-2025-12-28-total-6pt5: Different outcomes (Under, Over); nfl-ari-cin-2025-12-28-total-53pt5: Different outcomes (Under, Over); nba-phi-okc-2025-12-28-spread-home-15pt5: Different outcomes (76ers, Thunder); nfl-phi-buf-2025-12-28-spread-home-4pt5: Different outcomes (Bills, Eagles); nfl-jax-ind-2025-12-28: Different outcomes (Colts, Jaguars); nba-gsw-tor-2025-12-28-spread-away-4pt5: Different outcomes (Warriors, Raptors); nfl-phi-buf-2025-12-28-total-44pt5: Different outcomes (Under, Over); nfl-phi-buf-2025-12-28: Different outcomes (Bills, Eagles); nfl-la-atl-2025-12-29-spread-away-7pt5: Different outcomes (Rams, Falcons); nfl-phi-buf-2025-12-28-spread-home-3pt5: Different outcomes (Bills, Eagles); nba-phi-okc-2025-12-28-total-226pt5: Different outcomes (Under, Over); nba-phi-okc-2025-12-28-spread-home-14pt5: Different outcomes (76ers, Thunder)"
Cavs2,0xef54467264cbc7ae9659e6891d3be20f99afd1ee,43,13,163612.75,191128.35,23,1,"nhl-sj-pit-2025-12-13: Different outcomes (Penguins, Sharks)"
BITCOINTO500K,0xcd9bc2939f0dac121f6ccde59cca5e0b6a91414d,9,8,833038.99,152001.02,13,1,"nba-mil-chi-2025-12-27: Different outcomes (Bulls, Bucks)"
swisstony,0x204f72f35326db932158cba6adff0b9a1da95e14,69,2,442890.99,3.36,34,21,"elc-mid-hul-2025-12-29-total-4pt5: Different outcomes (Under, Over); cbb-washst-port-2025-12-28: Different outcomes (Washington State Cougars, Portland Pilots); acn-civ-cmr-2025-12-28-draw: Different outcomes (No, Yes); sea-ata-int-2025-12-28-total-1pt5: Different outcomes (Under, Over); nba-gsw-tor-2025-12-28-spread-away-3pt5: Different outcomes (Warriors, Raptors); aus-vic-wel-2025-12-29-vic: Different outcomes (No, Yes); nba-phi-okc-2025-12-28-total-225pt5: Different outcomes (Under, Over); nba-phi-okc-2025-12-28: Different outcomes (76ers, Thunder); acn-civ-cmr-2025-12-28-cmr: Different outcomes (No, Yes); sea-ata-int-2025-12-28-int: Different outcomes (No, Yes); sea-ata-int-2025-12-28-draw: Different outcomes (No, Yes); nba-phi-okc-2025-12-28-spread-home-14pt5: Different outcomes (76ers, Thunder); sea-ata-int-2025-12-28-total-3pt5: Different outcomes (Under, Over); nfl-nyg-lv-2025-12-28: Different outcomes (Raiders, Giants); nfl-phi-buf-2025-12-28: Different outcomes (Bills, Eagles); sea-ata-int-2025-12-28-total-2pt5: Different outcomes (Under, Over); nba-gsw-tor-2025-12-28: Different outcomes (Warriors, Raptors); nba-gsw-tor-2025-12-28-spread-away-4pt5: Different outcomes (Warriors, Raptors); sea-ata-int-2025-12-28-spread-away-1pt5: Different outcomes (FC Internazionale Milano, Atalanta BC); sea-cag-mil-2026-01-02-mil: Different outcomes (No, Yes); acn-civ-cmr-2025-12-28-civ: Different outcomes (No, Yes)"
