Rank,Name,Profile URL
1,SeriouslySirius,https://polymarket.com/profile/0x16b29c50f2439faf627209b2ac0c7bbddaa8a881
2,simonbanza,https://polymarket.com/profile/0x5350afcd8bd8ceffdf4da32420d6d31be0822fda
3,DrPufferfish,https://polymarket.com/profile/0xdb27bf2ac5d428a9c63dbc914611036855a6c56e
4,gmpm,https://polymarket.com/profile/0x14964aefa2cd7caff7878b3820a690a03c5aa429
5,0xafEe,https://polymarket.com/profile/0xee50a31c3f5a7c77824b12a941a54388a2827ed6
6,gmanas,https://polymarket.com/profile/0xe90bec87d9ef430f27f9dcfe72c34b76967d5da2
7,0x006cc834Cc092684F1B56626E23BEdB3835c16ea-1729683673397,https://polymarket.com/profile/0x006cc834cc092684f1b56626e23bedb3835c16ea
8,swisstony,https://polymarket.com/profile/0x204f72f35326db932158cba6adff0b9a1da95e14
9,Cavs2,https://polymarket.com/profile/0xef54467264cbc7ae9659e6891d3be20f99afd1ee
10,BITCOINTO500K,https://polymarket.com/profile/0xcd9bc2939f0dac121f6ccde59cca5e0b6a91414d
11,potko,https://polymarket.com/profile/0x43351dd7e8def5f29e5bd5954c8381c848a2fc2f
12,primm,https://polymarket.com/profile/0xd38b71f3e8ed1af71983e5c309eac3dfa9b35029
13,ghostt4,https://polymarket.com/profile/0x869b00cfb22f9385445ad88f914d423d27e3c625
14,RN1,https://polymarket.com/profile/0x2005d16a84ceefa912d4e380cd32e7ff827875ea
15,210MM,https://polymarket.com/profile/0xbcc9608ff5481e8452173a2236ffd735fad726fb
16,Feromont,https://polymarket.com/profile/0xabb89972b21b304c1bed2bf26f35c8741ac9bba3
17,sleepy-panda,https://polymarket.com/profile/0xa49becb692927d455924583b5e3e5788246f4c40
18,212121212121212121212,https://polymarket.com/profile/0x1bc0d88ca86b9049cf05d642e634836d5ddf4429
19,0x6f2628a8ac6e3f7bd857657d5316c33822ced13,https://polymarket.com/profile/0x6f2628a8ac6e3f7bd857657d5316c33822ced136
20,beachboy4,https://polymarket.com/profile/0xc2e7800b5af46e6093872b177b7a5e7f0563be51
21,0p0jogggg,https://polymarket.com/profile/0x6ac5bb06a9eb05641fd5e82640268b92f3ab4b6e
22,brady1234,https://polymarket.com/profile/0xf1ffa0a8bc7cdeb0240027e623b026ced4d0e56a
23,0xbda318d7996bDf1a36f8e557bf38d7aBB6a1caB2-1766248799523,https://polymarket.com/profile/0xbda318d7996bdf1a36f8e557bf38d7abb6a1cab2
24,0x8c80d213c0cbad777d06ee3f58f6ca4bc03102c3,https://polymarket.com/profile/0x8c80d213c0cbad777d06ee3f58f6ca4bc03102c3
25,Cortisfans,https://polymarket.com/profile/0xb2e4567925b79231265adf5d54687ddfb761bc51
26,ScottyNooo,https://polymarket.com/profile/0xbacd00c9080a82ded56f504ee8810af732b0ab35
27,ckw,https://polymarket.com/profile/0x92672c80d36dcd08172aa1e51dface0f20b70f9a
28,Pwaddler,https://polymarket.com/profile/0x1d1ade627d0bb0205758580b20d808573e720df6
29,123ComeBack456,https://polymarket.com/profile/0xaefeb1f121eeccc9b3a2d2283139cc93a08a1e4a
30,chungguskhan,https://polymarket.com/profile/0x7744bfd749a70020d16a1fcbac1d064761c9999e
31,circleraybaococoboba,https://polymarket.com/profile/0x0d16999d6ba24c2c2c8bff93f91014cc43fad24d
32,gamblingdebt,https://polymarket.com/profile/0xc8b438e4a1c10643ea0ea3e59bcaadc73174f05d
33,4-seas,https://polymarket.com/profile/0x51393c00184b39182f09a8a62b8549642e69a8db
34,SammySledge,https://polymarket.com/profile/0xafbacaeeda63f31202759eff7f8126e49adfe61b
35,0xb7A80bCd1584208877677387145d2227b8a814f8-1762798186244,https://polymarket.com/profile/0xb7a80bcd1584208877677387145d2227b8a814f8
36,ESPORTSENTHUSIAST,https://polymarket.com/profile/0x8c0b024c17831a0dde038547b7e791ae6a0d7aa5
37,BK9496,https://polymarket.com/profile/0xb3dda8a76f79f132b6f1a4b3c89f47474ea4a7e0
38,jokerfucker,https://polymarket.com/profile/0x68469ab9009f2783e243a1d0957f4cdd8939b797
39,0xf98DEc26318D00d7863746D6Aa2347691EE37ADb-1765930953808,https://polymarket.com/profile/0xf98dec26318d00d7863746d6aa2347691ee37adb
40,Account88888,https://polymarket.com/profile/0x7f69983eb28245bba0d5083502a78744a8f66162
41,FireKevinPatullo,https://polymarket.com/profile/0xf68a281980f8c13828e84e147e3822381d6e5b1b
42,aenews2,https://polymarket.com/profile/0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1
43,Mikee12,https://polymarket.com/profile/0x84cb17a50bc2487e8d64029783c3d2abcba328ad
44,0x8dxd,https://polymarket.com/profile/0x63ce342161250d705dc0b16df89036c8e5f9ba9a
45,gabagool22,https://polymarket.com/profile/0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d
46,dreamerwon,https://polymarket.com/profile/0x8ca8445e5c0dda8dcfeef768c074dbd66b07bf49
47,gopatriots,https://polymarket.com/profile/0xe20a1538293903b746ffe6c4ce2d5c3c0300e469
48,ShucksIt69,https://polymarket.com/profile/0x84dbb7103982e3617704a2ed7d5b39691952aeeb
49,LOOKINGBACK,https://polymarket.com/profile/0xc65ca4755436f82d8eb461e65781584b8cadea39
50,qwrasdz,https://polymarket.com/profile/0xd43cf929909540b714c054b97d7c53d9f31004e8
51,skkjhgda,https://polymarket.com/profile/0xee148cad5504462909bb8f50878990712e4b8055
52,0xe62d0223966f7cee8cc77065150a2db417bcc34,https://polymarket.com/profile/0xe62d0223966f7cee8cc77065150a2db417bcc34d
53,CRYINGLITTLEBABY,https://polymarket.com/profile/0x961afce6bd9aec79c5cf09d2d4dac2b434b23361
54,0x24357454d8d1a0cc93a6c25fd490467372bc2454,https://polymarket.com/profile/0x6e82b93eb57b01a63027bd0c6d2f3f04934a752c
55,Samojako,https://polymarket.com/profile/0xbca1b1e6d78efc7c04e13ec8277a4df1ecd8dd13
56,thechainsmokers,https://polymarket.com/profile/0xdd8184551f4b3fca3fc780d4d1c6342d7c2d9640
57,Dropper,https://polymarket.com/profile/0x6bab41a0dc40d6dd4c1a915b8c01969479fd1292
58,influenz.eth,https://polymarket.com/profile/0xe8dd7741ccb12350957ec71e9ee332e0d1e6ec86
59,chatCCP,https://polymarket.com/profile/0xb7844f423abd31bdd70a4664c958762d291b61d0
60,PrinceOscarino,https://polymarket.com/profile/0x060e94156048701cbf65b8e567ffe96b11742384
61,Countryside,https://polymarket.com/profile/0xbddf61af533ff524d27154e589d2d7a81510c684
62,oVyg7f,https://polymarket.com/profile/0x5f390e4b7d6f06d6756a6c92afdbf7b3176aa78c
63,TopGleaguePicks,https://polymarket.com/profile/0x310f6937ed43dfb00722198ff787ca4a61fc4e42
64,noovd,https://polymarket.com/profile/0x063aeee10fbfd55b6def10da28e87a601e7deb4b
65,SemyonMarmeladov,https://polymarket.com/profile/0x37e4728b3c4607fb2b3b205386bb1d1fb1a8c991
66,Mlemnonny123,https://polymarket.com/profile/0x124f7b74916d41460dc3dfefa0e5ef4b14783661
67,moje999,https://polymarket.com/profile/0x18d12d50db693ea3258edaa721c8ffa6eb7bdbcb
68,xjsgedhxfa,https://polymarket.com/profile/0xd90344155919671d44fd7e769caf4d4f50b2bf9d
69,AlexanderTheBait,https://polymarket.com/profile/0xb2304a93c928e05c13e3b96b07be1f2ea8374193
70,distinct-baguette,https://polymarket.com/profile/0xe00740bce98a594e26861838885ab310ec3b548c
71,Sharpyyy,https://polymarket.com/profile/0x68dd6269bb89d27a850dcde0d59ee824a227f0b2
72,TeemuTeemuTeemu,https://polymarket.com/profile/0x5388bc8cb72eb19a3bec0e8f3db6a77f7cd54d5a
73,0xead02f1568144be782d762e2b6a719302830f3ba,https://polymarket.com/profile/0xead02f1568144be782d762e2b6a719302830f3ba
74,tutrucks,https://polymarket.com/profile/0xce71bed9dd1418abc34d244730879d795e8683bc
75,Punisher2022,https://polymarket.com/profile/0x2652dd1140c3b9e69c8852264cf8dbe727672a1d
76,Macks22,https://polymarket.com/profile/0x1057e7d3ddafc60a4aeb10a2bc5b543792449ea5
